,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,direction,syst_type,shapes,variation_alias,lnN
0,data_obs,CR_loose,default,1,DATA,1.0,nominal,rootfiles/THselection_HT750_Data_Run2.root,MthvMh_particleNet_CR_loose__nominal,Data,Data,,,,,,
1,ttbar,CR_loose,default,2,BKG,1.0,lumi,rootfiles/THselection_HT750_ttbar_Run2.root,MthvMh_particleNet_CR_loose__nominal,ttbar,t#bar{t},,,lnN,,,1.016
2,ttbar,CR_loose,default,2,BKG,1.0,ttbar_xsec,rootfiles/THselection_HT750_ttbar_Run2.root,MthvMh_particleNet_CR_loose__nominal,ttbar,t#bar{t},,,lnN,,,1.2
3,ttbar,CR_loose,default,2,BKG,1.0,TptReweight,rootfiles/THselection_HT750_ttbar_Run2.root,MthvMh_particleNet_CR_loose__TptReweight_up,ttbar,t#bar{t},,Up,shapes,1.0,TptReweight,
4,ttbar,CR_loose,default,2,BKG,1.0,TptReweight,rootfiles/THselection_HT750_ttbar_Run2.root,MthvMh_particleNet_CR_loose__TptReweight_down,ttbar,t#bar{t},,Down,shapes,1.0,TptReweight,
5,ttbar,CR_loose,default,2,BKG,1.0,Pileup,rootfiles/THselection_HT750_ttbar_Run2.root,MthvMh_particleNet_CR_loose__Pileup_up,ttbar,t#bar{t},,Up,shapes,1.0,Pileup,
6,ttbar,CR_loose,default,2,BKG,1.0,Pileup,rootfiles/THselection_HT750_ttbar_Run2.root,MthvMh_particleNet_CR_loose__Pileup_down,ttbar,t#bar{t},,Down,shapes,1.0,Pileup,
7,ttbar,CR_loose,default,2,BKG,1.0,pdf,rootfiles/THselection_HT750_ttbar_Run2.root,MthvMh_particleNet_CR_loose__Pdfweight_up,ttbar,t#bar{t},,Up,shapes,1.0,Pdfweight,
8,ttbar,CR_loose,default,2,BKG,1.0,pdf,rootfiles/THselection_HT750_ttbar_Run2.root,MthvMh_particleNet_CR_loose__Pdfweight_down,ttbar,t#bar{t},,Down,shapes,1.0,Pdfweight,
9,ttbar,CR_loose,default,2,BKG,1.0,Prefire,rootfiles/THselection_HT750_ttbar_Run2.root,MthvMh_particleNet_CR_loose__L1PreFiringWeight_up,ttbar,t#bar{t},,Up,shapes,1.0,L1PreFiringWeight,
10,ttbar,CR_loose,default,2,BKG,1.0,Prefire,rootfiles/THselection_HT750_ttbar_Run2.root,MthvMh_particleNet_CR_loose__L1PreFiringWeight_down,ttbar,t#bar{t},,Down,shapes,1.0,L1PreFiringWeight,
11,ttbar,CR_loose,default,2,BKG,1.0,jer,rootfiles/THselection_HT750_ttbar_Run2_JER_up.root,MthvMh_particleNet_CR_loose__nominal,ttbar,t#bar{t},,Up,shapes,1.0,JER,
12,ttbar,CR_loose,default,2,BKG,1.0,jer,rootfiles/THselection_HT750_ttbar_Run2_JER_down.root,MthvMh_particleNet_CR_loose__nominal,ttbar,t#bar{t},,Down,shapes,1.0,JER,
13,ttbar,CR_loose,default,2,BKG,1.0,jes,rootfiles/THselection_HT750_ttbar_Run2_JES_up.root,MthvMh_particleNet_CR_loose__nominal,ttbar,t#bar{t},,Up,shapes,1.0,JES,
14,ttbar,CR_loose,default,2,BKG,1.0,jes,rootfiles/THselection_HT750_ttbar_Run2_JES_down.root,MthvMh_particleNet_CR_loose__nominal,ttbar,t#bar{t},,Down,shapes,1.0,JES,
15,ttbar,CR_loose,default,2,BKG,1.0,jmr,rootfiles/THselection_HT750_ttbar_Run2_JMR_up.root,MthvMh_particleNet_CR_loose__nominal,ttbar,t#bar{t},,Up,shapes,1.0,JMR,
16,ttbar,CR_loose,default,2,BKG,1.0,jmr,rootfiles/THselection_HT750_ttbar_Run2_JMR_down.root,MthvMh_particleNet_CR_loose__nominal,ttbar,t#bar{t},,Down,shapes,1.0,JMR,
17,ttbar,CR_loose,default,2,BKG,1.0,jms,rootfiles/THselection_HT750_ttbar_Run2_JMS_up.root,MthvMh_particleNet_CR_loose__nominal,ttbar,t#bar{t},,Up,shapes,1.0,JMS,
18,ttbar,CR_loose,default,2,BKG,1.0,jms,rootfiles/THselection_HT750_ttbar_Run2_JMS_down.root,MthvMh_particleNet_CR_loose__nominal,ttbar,t#bar{t},,Down,shapes,1.0,JMS,
19,ttbar,CR_loose,default,2,BKG,1.0,nominal,rootfiles/THselection_HT750_ttbar_Run2.root,MthvMh_particleNet_CR_loose__nominal,ttbar,t#bar{t},,,,,,
